year,state,state_abv,total_ballots_counted,vap,noncitizen_pct,ineligible_prison,ineligible_probation,ineligible_parole,ineligible_felons_total,eligible_overseas,vep,vep_turnout_rate,vap_turnout_rate,election_type
2016,Idaho,ID,710545,1256143,0.044000000000000004,7949,32409,5054,31476,NA,1169396,0.6076,0.5657,presidential
2016,Illinois,IL,5666118,9887574,0.085,42017,0,0,42017,NA,9005114,0.6292,0.5730999999999999,presidential
2016,Indiana,IN,2807676,5072700,0.037000000000000005,24948,0,0,24948,NA,4860062,0.5777,0.5535,presidential
2016,Iowa,IA,1581371,2404019,0.036000000000000004,8888,29254,6051,31614,NA,2285860,0.6918,0.6578,presidential
2016,Kansas,KS,1225667,2196904,0.052000000000000005,9613,16654,4830,23936,NA,2058729,0.5954,0.5579000000000001,presidential
2016,Kentucky,KY,1955195,3430752,0.024,22868,48457,15383,65871,NA,3282543,0.5956,0.5699000000000001,presidential
2016,Louisiana,LA,2049531,3563801,0.027000000000000003,35543,40174,30907,89349,NA,3378229,0.6067,0.5751,presidential
2016,Maine,ME,771892,1079197,0.018000000000000002,0,0,0,0,NA,1059772,0.7284,0.7152,presidential
2016,Maryland,MD,2807322,4663738,0.08800000000000001,19382,72529,10305,71029,NA,4182300,0.6711999999999999,0.6019000000000001,presidential
2016,Massachusetts,MA,3378801,5453921,0.08900000000000001,8780,0,0,8780,NA,4959742,0.6811999999999999,0.6194999999999999,presidential
2016,Michigan,MI,4874619,7765389,0.037000000000000005,40502,0,0,40502,NA,7437567,0.6554000000000001,0.6277,presidential
2016,Minnesota,MN,2968281,4242668,0.046,10158,96852,7075,72439,NA,3975066,0.7466999999999999,0.6996000000000001,presidential
2016,Mississippi,MS,1209357,2268353,0.013999999999999999,19150,29067,8645,44363,NA,2192233,0.5517,0.5330999999999999,presidential
2016,Missouri,MO,2811549,4709176,0.025,31956,43799,17792,74713,NA,4516733,0.6225,0.597,presidential
2016,Montana,MT,516901,816023,0.012,3795,0,0,3795,NA,802436,0.6442,0.6334,presidential
2016,Nebraska,NE,860573,1435123,0.055,5079,13489,1088,13856,NA,1342336,0.6411,0.5997,presidential
2016,Nevada,NV,1125429,2260341,0.126,13742,13724,5261,26826,NA,1948712,0.5775,0.49790000000000006,presidential
2016,New Hampshire,NH,755850,1082981,0.028999999999999998,2818,0,0,2818,NA,1048757,0.7206999999999999,0.6979000000000001,presidential
2016,New Jersey,NJ,3957303,6903418,0.12,18504,140589,15128,113768,NA,5961240,0.6638,0.5732,presidential
2016,New Mexico,NM,804043,1600627,0.069,6914,12714,2780,16941,NA,1473243,0.5458,0.5023000000000001,presidential
2016,New York,NY,7786881,15473628,0.12,46416,0,44426,90842,NA,13525950,0.5757,0.5032,presidential
2016,North Carolina,NC,4769640,7898733,0.055,34357,82466,12726,94089,NA,7370213,0.6472,0.6038,presidential
